brief_id,status,brand_id,brand_name,contract_id,contract_name,category,vertical,brief_allocation,photos_required,gifs_required,cinemagraphs_required,videos_required,brand_selection,rating,total_briefs_purchased,total_briefs_used,price_per_brief,product_type,created_date,
5a748e84733e180011fde7ff,Closed,58fe62dee3c319000c7eb83e,NAD Electronics,5a4a9ccfd623c90011c9218f,Lenbrook-Lenbrook Industries Limited-2018-12-Basic/Premium-Lenbrook International - 2018 Renewal,On Location,Electronics,1,0,0,0,1,FALSE,5,22,18,4762.12,Premium,2018-02-02 18:14,
5a748e84733e180011fde7ff,Closed,58fe62dee3c319000c7eb83e,NAD Electronics,5a4a9ccfd623c90011c9218f,Lenbrook-Lenbrook Industries Limited-2018-12-Basic/Premium-Lenbrook International - 2018 Renewal,Lifestyle,Electronics,1,0,0,0,1,FALSE,5,22,18,4762.12,Premium,2018-02-02 18:14,
5a749392733e180011fdec18,Closed,5849b33963d7f1154b8dec86,Kaplan Test Prep,5849b43b63d7f1154b8ded34,CLOSED - Kaplan Test Prep Contract 2016,Lifestyle,Service,0,25,0,0,0,FALSE,,8,8,3749.38,,2018-02-02 16:36,
5a74ad3704363c000f9ef0d2,Closed,5a7495f07f5475001096f4ef,Samuel Adams,5a281b322febb000104a0342,Samuel Adams - The Boston Beer Company - 2018-11 - Basic - Sam Adams - Campaign - 2017 to 2018,Lifestyle,Alcohol,1,25,0,0,0,FALSE,3,8,8,4124.25,Basic,2018-03-23 15:21,
5a74ad3704363c000f9ef0d2,Closed,5a7495f07f5475001096f4ef,Samuel Adams,5a281b322febb000104a0342,Samuel Adams - The Boston Beer Company - 2018-11 - Basic - Sam Adams - Campaign - 2017 to 2018,Product,Alcohol,1,25,0,0,0,FALSE,3,8,8,4124.25,Basic,2018-03-23 15:21,
5a74b4ae733e180011fe845a,Closed,59d66cf2ae51550011266285,Cetaphil Canada,5a74b620733e180011fe848f,"Cetaphil-GALDERMA LABORATORIES, L.P.-2018-09-Basic-Galderma - Cetaphil Starter Package",Product,Beauty & Cosmetics,1,25,0,0,0,FALSE,,4,5,4687.38,,2018-02-02 18:57,
5a74b4ae733e180011fe845a,Closed,59d66cf2ae51550011266285,Cetaphil Canada,5a74b620733e180011fe848f,"Cetaphil-GALDERMA LABORATORIES, L.P.-2018-09-Basic-Galderma - Cetaphil Starter Package",Lifestyle,Beauty & Cosmetics,1,25,0,0,0,FALSE,,4,5,4687.38,,2018-02-02 18:57,
5a74bfbc733e180011feac55,Closed,56f94bcdd92d1aa92526945f,Johnny Rockets,56f94c4bd92d1aa92526949f,Johnny Rockets - Subscription - 2016,Lifestyle,Restaurant,2,25,0,0,0,FALSE,5,48,51,1041.56,Basic,2018-02-08 22:33,
5a74bfbc733e180011feac55,Closed,56f94bcdd92d1aa92526945f,Johnny Rockets,56f94c4bd92d1aa92526949f,Johnny Rockets - Subscription - 2016,Food & Drink,Restaurant,2,25,0,0,0,FALSE,5,48,51,1041.56,Basic,2018-02-08 22:33,
5a74d4e6b10f8c0014586391,Closed,5755d19aa0b3438406361b8f,Rice Krispies,5a258e14db603d001102f5b0,Multiple Brands- Kellogg Canada- 2018-06- Basic- Kellogg Canada Inc. - Global - Enterprise - 12 Months - Renewal,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,,21,18,2380.95,,2018-02-02 21:18,
5a74d4e6b10f8c0014586391,Closed,5755d19aa0b3438406361b8f,Rice Krispies,5a258e14db603d001102f5b0,Multiple Brands- Kellogg Canada- 2018-06- Basic- Kellogg Canada Inc. - Global - Enterprise - 12 Months - Renewal,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,21,18,2380.95,,2018-02-02 21:18,
5a74d5c77f5475001097b6c2,Closed,5755d19aa0b3438406361b8f,Rice Krispies,5a258e14db603d001102f5b0,Multiple Brands- Kellogg Canada- 2018-06- Basic- Kellogg Canada Inc. - Global - Enterprise - 12 Months - Renewal,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,,21,18,2380.95,,2018-02-02 21:29,
5a74d5c77f5475001097b6c2,Closed,5755d19aa0b3438406361b8f,Rice Krispies,5a258e14db603d001102f5b0,Multiple Brands- Kellogg Canada- 2018-06- Basic- Kellogg Canada Inc. - Global - Enterprise - 12 Months - Renewal,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,21,18,2380.95,,2018-02-02 21:29,
5a74d87f733e180011fee01b,Closed,5755d19aa0b3438406361b8f,Rice Krispies,5a258e14db603d001102f5b0,Multiple Brands- Kellogg Canada- 2018-06- Basic- Kellogg Canada Inc. - Global - Enterprise - 12 Months - Renewal,Recipes,Food & Beverage,1,25,0,0,0,FALSE,,21,18,2380.95,,2018-02-02 21:45,
5a74d87f733e180011fee01b,Closed,5755d19aa0b3438406361b8f,Rice Krispies,5a258e14db603d001102f5b0,Multiple Brands- Kellogg Canada- 2018-06- Basic- Kellogg Canada Inc. - Global - Enterprise - 12 Months - Renewal,Food & Drink,Food & Beverage,1,25,0,0,0,FALSE,,21,18,2380.95,,2018-02-02 21:45,
5a74f48a733e180011ff1751,Closed,54c90cff6c19ca4a749fd89e,Premier Nutrition,5a25b5a5a99cde0012a12b67,Premier Nutrition-PowerBar-Premier Protein-2018/09-Basic-Premier Nutrition Corp. - Powerbar & Premier Nutrition - Campaign - 12 Months - Renewal - 2017,Product,Food & Beverage,1,25,0,0,0,FALSE,,18,15,2031,,2018-02-13 19:33,
5a74f48a733e180011ff1751,Closed,54c90cff6c19ca4a749fd89e,Premier Nutrition,5a25b5a5a99cde0012a12b67,Premier Nutrition-PowerBar-Premier Protein-2018/09-Basic-Premier Nutrition Corp. - Powerbar & Premier Nutrition - Campaign - 12 Months - Renewal - 2017,Lifestyle,Food & Beverage,1,25,0,0,0,FALSE,,18,15,2031,,2018-02-13 19:33,
5a772cdb733e18001102de52,Closed,58b86b4ff6ca9e0b00bda5a6,Becel,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Food & Drink,Food & Beverage,1,0,0,0,25,FALSE,,29,26,2827.59,,2018-02-05 23:05,
5a772cdb733e18001102de52,Closed,58b86b4ff6ca9e0b00bda5a6,Becel,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Product,Food & Beverage,1,0,0,0,25,FALSE,,29,26,2827.59,,2018-02-05 23:05,
5a787dab474d2b00100c1827,Closed,5a7870f4474d2b00100bf1fc,EcoTools,5a6b6e7f64b8ce00104e4037,EcoTools - Paris Presents - (2019-01) - Legacy - #Holdout - Paris Present Incorporated (EcoTools) #1,Product,Beauty & Cosmetics,1,40,0,0,0,TRUE,4,8,10,3750,,2018-02-27 17:37,
5a7881ca17844b0010cdba0e,Closed,582f5d455bd4139874b6ed36,Buitoni,5a8c501194bd5200108aec75,"Nestle USA - Goodnes and Nescafe - 2018-12 - Basic - Nestle Foods USA, Inc. - 2018 Renewal",Recipes,Food & Beverage,1,25,0,0,0,TRUE,,10,13,3550,Basic,2018-04-04 20:48,
5a78bbe4474d2b00100ce923,Closed,5942e46394ab19000ff50bf9,St. Ives,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Product,Beauty & Cosmetics,1,0,25,0,0,FALSE,,29,26,2827.59,Classic,2018-02-06 2:17,
5a7919b91156b90011380650,Closed,5942e46394ab19000ff50bf9,St. Ives,5a25a52ea99cde0012a10cd2,Unilever Canada 2017 Subscription,Product,Beauty & Cosmetics,1,25,0,0,0,FALSE,,29,26,2827.59,Basic,2018-02-06 3:07,
5a791a331156b900113807ce,Closed,573b189c8898c7886df4eda6,Outshine,5a74d50552b9bd0010361a55,"NESTLE USA - Multibrand Ice Creams - 2018-12 - Basic - Nestle Foods USA, Inc. - 2018 Renewal",Product,Food & Beverage,1,25,0,0,0,FALSE,,28,31,3550,,2018-02-06 22:03,
5a792533474d2b00100e83a4,Closed,573b189c8898c7886df4eda6,Outshine,5a25b7dfb624aa000fd39675,"CLOSED - Nestle USA, Inc. - Ice Creams Subscription - Enterprise - 12 Months - Renewal",Product,Food & Beverage,1,25,0,0,0,FALSE,,50,53,2180,Classic,2018-02-06 22:13,
5a7926ff1156b90011381ed1,Closed,56c6496d3ca3adfd6135209b,Skinny Cow,5a25b7dfb624aa000fd39675,"CLOSED - Nestle USA, Inc. - Ice Creams Subscription - Enterprise - 12 Months - Renewal",Lifestyle,Food & Beverage,1,25,0,0,0,FALSE,,50,53,2180,,2018-02-10 20:40,
5a79d1eda756be0011d73551,Closed,58caa2a27fd28f0b00f323ed,Bulldog Gin,5a4539a99ab8c600100f6bab,BulldogGin-CAMPARIUK-2018-12-CAMPARI UK 2018 Subscription,Product,Alcohol,1,25,0,0,0,FALSE,1,6,5,3333.33,,2018-02-21 13:29,
